"","State","Year","New_Policies","Cumulative_Policies"
"588","RI","2006",4,1975
"589","RI","2007",1,1976
"590","RI","2008",4,1980
"591","RI","2010",1,1981
"592","RI","2011",1,1982
"593","RI","2013",3,1985
"594","RI","2014",2,1987
"595","RI","2015",3,1990
"596","RI","2016",1,1991
"597","RI","2017",1,1992
"598","RI","2022",1,1993
"599","RI","2024",3,1996
"600","RI","2025",1,1997
"601","SC","2006",12,2009
"602","SC","2007",4,2013
"603","SC","2008",2,2015
"604","SC","2009",4,2019
"605","SC","2010",4,2023
"606","SC","2011",2,2025
"607","SC","2012",1,2026
"608","SC","2013",1,2027
"609","SC","2014",2,2029
"610","SC","2015",1,2030
"611","SC","2017",1,2031
"612","SC","2021",1,2032
"613","SC","2024",1,2033
"614","SD","2006",2,2035
"615","SD","2007",2,2037
"616","SD","2008",5,2042
"617","SD","2009",1,2043
"618","SD","2010",4,2047
"619","SD","2012",2,2049
"620","SD","2013",1,2050
"621","SD","2021",1,2051
"622","SD","2023",1,2052
"623","SD","2024",1,2053
"624","TN","2000",1,2054
"625","TN","2006",4,2058
"626","TN","2008",1,2059
"627","TN","2009",1,2060
"628","TN","2010",2,2062
"629","TN","2011",1,2063
"630","TN","2012",1,2064
"631","TN","2015",1,2065
"632","TN","2020",1,2066
"633","TN","2024",4,2070
"634","TX","2001",1,2071
"635","TX","2000",4,2075
"636","TX","2002",1,2076
"637","TX","2003",1,2077
"638","TX","2004",1,2078
"639","TX","2005",1,2079
"640","TX","2006",18,2097
"641","TX","2007",12,2109
"642","TX","2008",7,2116
"643","TX","2009",15,2131
"644","TX","2010",2,2133
"645","TX","2011",11,2144
"646","TX","2012",4,2148
"647","TX","2013",1,2149
"648","TX","2014",7,2156
"649","TX","2015",3,2159
"650","TX","2016",3,2162
"651","TX","2018",1,2163
"652","TX","2019",2,2165
"653","TX","2021",11,2176
"654","TX","2022",2,2178
"655","TX","2024",2,2180
"656","TX","2025",1,2181
"657","US","2002",6,2187
"658","US","2003",3,2190
"659","US","2004",1,2191
"660","US","2005",1,2192
"661","US","2006",5,2197
"662","US","2007",1,2198
"663","US","2008",1,2199
"664","US","2010",1,2200
"665","US","2012",1,2201
"666","US","2015",4,2205
"667","US","2021",1,2206
"668","US","2022",3,2209
"669","UT","2000",4,2213
"670","UT","2002",1,2214
"671","UT","2003",1,2215
"672","UT","2004",1,2216
"673","UT","2006",3,2219
"674","UT","2007",7,2226
"675","UT","2008",1,2227
"676","UT","2009",2,2229
"677","UT","2012",1,2230
"678","UT","2013",2,2232
"679","UT","2021",3,2235
"680","UT","2024",1,2236
"681","VA","2006",2,2238
"682","VA","2009",1,2239
"683","VA","2010",5,2244
"684","VA","2011",4,2248
"685","VA","2014",2,2250
"686","VA","2015",5,2255
"687","VA","2020",3,2258
"688","VA","2024",1,2259
"689","VA","2000",2,2261
"690","VA","2005",1,2262
"691","VA","2021",3,2265
"692","VA","2001",1,2266
"693","VA","2003",1,2267
"694","VA","2007",3,2270
"695","VA","2008",2,2272
"696","VA","2012",1,2273
"697","VA","2016",3,2276
"698","VA","2022",3,2279
"699","VI","2005",1,2280
"700","VI","2007",1,2281
"701","VI","2009",2,2283
"702","VI","2014",2,2285
"703","VI","2024",2,2287
"704","VT","2000",3,2290
"705","VT","2002",1,2291
"706","VT","2004",1,2292
"707","VT","2005",1,2293
"708","VT","2006",8,2301
"709","VT","2007",1,2302
"710","VT","2009",5,2307
"711","VT","2008",1,2308
"712","VT","2010",3,2311
"713","VT","2012",2,2313
"714","VT","2014",2,2315
"715","VT","2015",1,2316
"716","VT","2019",2,2318
"717","VT","2021",22,2340
"718","VT","2022",1,2341
"719","VT","2023",6,2347
"720","VT","2024",8,2355
"721","WA","2000",4,2359
"722","WA","2002",2,2361
"723","WA","2005",1,2362
"724","WA","2001",2,2364
"725","WA","2006",28,2392
"726","WA","2007",7,2399
"727","WA","2008",4,2403
"728","WA","2009",5,2408
"729","WA","2010",5,2413
"730","WA","2011",2,2415
"731","WA","2014",2,2417
"732","WA","2015",6,2423
"733","WA","2016",4,2427
"734","WA","2021",4,2431
"735","WA","2022",1,2432
"736","WA","2023",2,2434
"737","WA","2024",2,2436
"738","WI","2000",8,2444
"739","WI","2002",1,2445
"740","WI","2003",1,2446
"741","WI","2006",11,2457
"742","WI","2007",2,2459
"743","WI","2009",6,2465
"744","WI","2010",2,2467
"745","WI","2011",3,2470
"746","WI","2012",2,2472
"747","WI","2015",1,2473
"748","WI","2019",1,2474
"749","WI","2021",8,2482
"750","WI","2023",1,2483
"751","WI","2024",3,2486
"752","WV","2001",2,2488
"753","WV","2006",1,2489
"754","WV","2007",1,2490
"755","WV","2010",1,2491
"756","WV","2011",1,2492
"757","WV","2012",2,2494
"758","WY","2003",2,2496
"759","WY","2008",2,2498
"760","WY","2007",5,2503
"761","WY","2020",2,2505
"762","WY","2024",2,2507
"763","WY","2006",1,2508
"764","WY","2009",1,2509
"765","WY","2011",2,2511
"766","WY","2019",1,2512
