"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"327","KS",2012,"Republican",0,6
"328","KS",2013,"Republican",0,7
"329","KS",2014,"Republican",2,8
"330","KS",2015,"Republican",0,8
"331","KS",2016,"Republican",1,9
"332","KS",2017,"Republican",0,11
"333","KS",2018,"Republican",0,11
"334","KS",2019,"Republican",0,12
"335","KY",2000,"Democrat",1,1
"336","KY",2001,"Democrat",0,1
"337","KY",2002,"Democrat",0,2
"338","KY",2003,"Republican (2nd Gov. mid-year)",0,2
"339","KY",2004,"Republican",1,2
"340","KY",2005,"Republican",0,3
"341","KY",2006,"Republican",8,3
"342","KY",2007,"Democrat (2nd Gov. mid-year)",2,3
"343","KY",2008,"Democrat",1,3
"344","KY",2009,"Democrat",4,3
"345","KY",2010,"Democrat",4,3
"346","KY",2011,"Democrat",0,4
"347","KY",2012,"Democrat",0,3
"348","KY",2013,"Democrat",0,4
"349","KY",2014,"Democrat",0,4
"350","KY",2015,"Republican (2nd Gov. mid-year)",2,4
"351","KY",2016,"Republican",1,4
"352","KY",2017,"Republican",0,5
"353","KY",2018,"Republican",0,5
"354","KY",2019,"Republican",0,5
"355","LA",2000,"Republican",0,3
"356","LA",2001,"Republican",0,3
"357","LA",2002,"Republican",0,3
"358","LA",2003,"Republican",2,4
"359","LA",2004,"Democrat (2nd Gov. mid-year)",1,5
"360","LA",2005,"Democrat",0,4
"361","LA",2006,"Democrat",1,4
"362","LA",2007,"Democrat",2,3
"363","LA",2008,"Republican (2nd Gov. mid-year)",0,3
"364","LA",2009,"Republican",2,3
"365","LA",2010,"Republican",2,3
"366","LA",2011,"Republican",0,3
"367","LA",2012,"Republican",0,3
"368","LA",2013,"Republican",0,4
"369","LA",2014,"Republican",0,4
"370","LA",2015,"Republican",5,4
"371","LA",2016,"Democrat (2nd Gov. mid-year)",1,4
"372","LA",2017,"Democrat",0,4
"373","LA",2018,"Democrat",0,4
"374","LA",2019,"Democrat",0,3
"375","LA",2020,"Democrat",0,3
"376","LA",2021,"Democrat",1,3
"377","LA",2022,"Democrat",1,3
"378","LA",2023,"Democrat",2,3
"379","MA",2000,"Republican",10,4
