"","State","Year","New_Policies"
"566","PA","2006",2
"567","PA","2008",2
"568","PA","2009",12
"569","PA","2010",8
"570","PA","2011",4
"571","PA","2012",1
"572","PA","2015",2
"573","PA","2016",2
"574","PA","2021",9
"575","PA","2022",2
"576","PA","2024",1
"577","PA","2025",5
"578","PR","2002",2
"579","PR","2008",6
"580","PR","2000",1
"581","PR","2009",1
"582","PR","2010",1
"583","PR","2024",1
"584","PW","2014",1
"585","RI","2000",3
"586","RI","2004",1
"587","RI","2005",2
"588","RI","2006",4
"589","RI","2007",1
"590","RI","2008",4
"591","RI","2010",1
"592","RI","2011",1
"593","RI","2013",3
"594","RI","2014",2
"595","RI","2015",3
"596","RI","2016",1
"597","RI","2017",1
"598","RI","2022",1
"599","RI","2024",3
"600","RI","2025",1
"601","SC","2006",12
"602","SC","2007",4
"603","SC","2008",2
"604","SC","2009",4
"605","SC","2010",4
"606","SC","2011",2
"607","SC","2012",1
"608","SC","2013",1
"609","SC","2014",2
"610","SC","2015",1
"611","SC","2017",1
"612","SC","2021",1
"613","SC","2024",1
"614","SD","2006",2
"615","SD","2007",2
"616","SD","2008",5
"617","SD","2009",1
"618","SD","2010",4
"619","SD","2012",2
"620","SD","2013",1
"621","SD","2021",1
"622","SD","2023",1
"623","SD","2024",1
"624","TN","2000",1
"625","TN","2006",4
"626","TN","2008",1
"627","TN","2009",1
"628","TN","2010",2
"629","TN","2011",1
"630","TN","2012",1
"631","TN","2015",1
"632","TN","2020",1
"633","TN","2024",4
"634","TX","2001",1
"635","TX","2000",4
"636","TX","2002",1
"637","TX","2003",1
"638","TX","2004",1
"639","TX","2005",1
"640","TX","2006",18
"641","TX","2007",12
"642","TX","2008",7
"643","TX","2009",15
"644","TX","2010",2
"645","TX","2011",11
"646","TX","2012",4
"647","TX","2013",1
"648","TX","2014",7
"649","TX","2015",3
"650","TX","2016",3
"651","TX","2018",1
"652","TX","2019",2
"653","TX","2021",11
"654","TX","2022",2
"655","TX","2024",2
"656","TX","2025",1
"657","US","2002",6
"658","US","2003",3
"659","US","2004",1
"660","US","2005",1
"661","US","2006",5
"662","US","2007",1
"663","US","2008",1
"664","US","2010",1
"665","US","2012",1
"666","US","2015",4
"667","US","2021",1
"668","US","2022",3
"669","UT","2000",4
"670","UT","2002",1
"671","UT","2003",1
"672","UT","2004",1
"673","UT","2006",3
"674","UT","2007",7
"675","UT","2008",1
"676","UT","2009",2
"677","UT","2012",1
"678","UT","2013",2
"679","UT","2021",3
"680","UT","2024",1
"681","VA","2006",2
"682","VA","2009",1
"683","VA","2010",5
"684","VA","2011",4
"685","VA","2014",2
"686","VA","2015",5
"687","VA","2020",3
"688","VA","2024",1
"689","VA","2000",2
"690","VA","2005",1
"691","VA","2021",3
"692","VA","2001",1
"693","VA","2003",1
"694","VA","2007",3
"695","VA","2008",2
"696","VA","2012",1
"697","VA","2016",3
"698","VA","2022",3
"699","VI","2005",1
"700","VI","2007",1
"701","VI","2009",2
"702","VI","2014",2
"703","VI","2024",2
"704","VT","2000",3
"705","VT","2002",1
"706","VT","2004",1
"707","VT","2005",1
"708","VT","2006",8
"709","VT","2007",1
"710","VT","2009",5
"711","VT","2008",1
"712","VT","2010",3
"713","VT","2012",2
"714","VT","2014",2
"715","VT","2015",1
"716","VT","2019",2
"717","VT","2021",22
"718","VT","2022",1
"719","VT","2023",6
"720","VT","2024",8
"721","WA","2000",4
"722","WA","2002",2
"723","WA","2005",1
"724","WA","2001",2
"725","WA","2006",28
"726","WA","2007",7
"727","WA","2008",4
"728","WA","2009",5
"729","WA","2010",5
"730","WA","2011",2
"731","WA","2014",2
"732","WA","2015",6
"733","WA","2016",4
"734","WA","2021",4
"735","WA","2022",1
"736","WA","2023",2
"737","WA","2024",2
"738","WI","2000",8
"739","WI","2002",1
"740","WI","2003",1
"741","WI","2006",11
"742","WI","2007",2
"743","WI","2009",6
"744","WI","2010",2
"745","WI","2011",3
"746","WI","2012",2
"747","WI","2015",1
"748","WI","2019",1
"749","WI","2021",8
"750","WI","2023",1
"751","WI","2024",3
"752","WV","2001",2
"753","WV","2006",1
"754","WV","2007",1
"755","WV","2010",1
"756","WV","2011",1
"757","WV","2012",2
"758","WY","2003",2
"759","WY","2008",2
"760","WY","2007",5
"761","WY","2020",2
"762","WY","2024",2
"763","WY","2006",1
"764","WY","2009",1
"765","WY","2011",2
"766","WY","2019",1
