State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RI,"2,888","2,953","3,100","3,195","3,505","3,549","3,757","4,113","4,233","4,402","5,245","4,842","4,893","5,076","4,991","4,026","4,682","5,270","6,550","7,101","7,279","6,648","6,029","7,379","4,933","5,081","4,653","3,302","3,528","3,771","4,429","4,515","4,770","5,116","5,001","5,015","5,490","4,295","4,137","4,360","4,486","3,877","3,711","3,786","4,500","1,884","5,395","6,383","6,283","7,401","7,142","6,878","5,989","5,902","7,941","9,241","8,743","9,570","10,167","11,079","11,883","11,798","13,264","13,579"
SC,"55,439","52,845","51,541","50,928","56,855","52,586","49,417","47,544","50,503","51,519","48,824","53,944","53,756","56,619","55,603","56,938","59,585","59,462","61,587","64,051","50,083","43,459","52,528","53,388","57,948","53,689","80,995","80,494","78,601","83,553","83,563","85,812","87,708","89,878","93,678","100,846","110,726","111,865","105,738","85,469","82,051","62,114","71,277","79,218","81,327","86,267","89,225","88,416","100,151","107,607","119,773","127,571","131,684","139,122","144,405","137,393","138,887","142,086","145,716","145,436","143,995","143,796","145,328","142,486"
SD,"5,481","5,345","6,520","11,217","11,830","14,330","17,608","17,970","20,425","22,746","23,594","27,599","26,557","17,787","20,599","28,521","25,744","19,955","25,337","23,678","23,189","21,281","22,170","22,551","23,881","22,670","24,137","22,460","22,817","20,119","16,782","17,179","16,878","13,327","22,483","25,427","31,749","35,035","24,153","27,606","24,637","17,324","22,796","28,214","35,444","40,183","48,363","49,617","61,713","75,216","86,937","95,601","89,696","87,325","92,163","94,546","99,312","100,635","106,322","110,493","109,622","127,382","129,978","126,540"
TN,"74,957","73,329","76,268","72,432","77,432","76,396","75,178","79,710","78,078","79,312","81,286","86,531","95,548","97,984","97,696","94,729","94,118","103,215","102,006","121,834","99,231","95,001","115,351","118,711","131,517","120,407","119,013","123,498","118,673","122,790","95,002","102,183","99,575","90,319","103,022","96,931","96,168","86,761","85,535","78,673","77,076","90,783","94,468","103,624","111,134","112,717","100,853","94,530","113,241","127,155","124,946","130,247","129,841","149,508","139,689","139,641","130,839","132,019","139,464","134,222","136,076","135,841","116,472","115,678"
TX,"42,057","43,091","42,005","39,339","40,685","43,732","46,470","45,877","53,674","55,410","55,637","54,253","61,777","66,240","65,222","62,394","68,529","74,355","78,861","81,375","58,988","62,452","73,520","70,196","81,397","86,444","99,181","105,587","103,242","117,474","104,748","106,685","117,816","105,422","104,814","110,346","104,877","113,638","105,346","88,905","92,516","85,633","98,089","94,316","94,180","103,509","145,807","181,554","239,837","219,248","283,455","328,340","329,437","354,056","383,577","394,057","464,206","500,540","538,210","562,206","590,850","654,199","751,680","791,211"
UT,"3,258","2,920","3,384","3,210","4,758","5,072","4,636","5,725","5,686","6,097","4,831","5,661","6,715","6,935","5,823","6,560","7,111","6,394","6,995","8,068","7,295","8,001","9,546","11,261","11,786","10,781","11,874","7,117","6,478","6,522","6,163","6,843","6,935","7,689","7,282","7,891","8,638","10,114","10,526","11,624","10,305","7,552","6,664","6,359","6,458","9,390","8,972","9,691","11,704","12,283","13,751","17,824","17,067","16,521","18,400","22,379","28,527","34,373","34,023","34,539","34,213","36,050","37,369","39,674"
VA,"60,396","57,891","58,653","58,080","57,524","57,219","58,708","56,115","58,382","59,197","57,816","58,426","60,681","60,018","58,458","57,695","69,865","68,791","77,458","84,470","79,350","76,702","86,992","87,384","95,326","95,965","85,945","82,219","81,754","95,744","96,721","100,026","103,325","110,056","115,358","119,343","129,674","119,055","117,403","118,184","112,213","88,665","76,304","99,007","107,570","122,896","125,154","128,531","135,050","136,235","134,830","130,418","130,158","147,080","163,416","163,521","160,048","159,211","171,314","158,027","163,057","174,615","185,638","183,979"
VT,"10,922","9,783","9,975","9,119","8,820","9,368","9,674","9,448","9,568","9,748","9,153","9,348","9,394","9,758","9,165","9,800","11,741","12,642","14,431","15,888","17,207","17,764","16,706","19,404","19,369","20,401","16,525","16,160","15,629","12,665","9,942","9,915","9,628","11,470","11,897","12,455","13,335","12,689","12,187","12,559","13,014","11,138","15,107","16,235","14,127","16,454","17,925","14,803","19,163","24,709","26,194","23,862","21,145","26,571","26,073","32,235","29,703","30,206","33,556","32,740","20,607","21,430","22,009","22,209"
WA,"175,732","185,353","194,038","209,427","225,740","234,444","247,337","264,572","286,795","297,673","303,741","311,429","325,886","301,720","346,630","349,910","393,673","305,612","384,391","348,746","371,848","414,784","390,554","396,700","395,362","375,320","387,678","361,528","361,971","353,677","393,303","380,353","333,174","333,704","328,652","374,986","427,620","452,482","363,145","423,236","366,576","282,155","362,353","348,989","341,984","337,270","396,641","368,316","374,236","367,957","376,381","461,167","450,039","420,370","427,691","415,545","444,891","449,455","448,489","396,217","406,249","394,052","418,470","365,956"
WI,"47,340","46,016","46,422","44,151","44,178","46,685","46,522","46,455","49,123","47,624","44,830","46,037","48,836","50,768","51,418","51,823","58,073","61,728","74,303","76,956","172,558","181,562","178,401","199,498","199,049","199,954","144,821","141,882","147,044","113,775","89,162","92,278","93,750","88,684","92,731","97,801","109,575","111,497","98,824","102,773","102,202","113,720","93,599","105,260","94,920","132,991","129,100","131,294","146,254","137,931","165,741","164,772","158,804","166,500","169,963","176,655","174,422","173,139","179,416","177,141","146,560","145,936","150,890","150,965"
