State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NH,"107,928","115,890","123,905","129,305","128,888","126,838","140,294","144,456","154,293","170,493","180,712","194,757","205,749","209,977","199,251","194,707","219,987","224,652","226,432","203,952","201,554","193,876","193,836","196,403","216,320","225,858","244,164","265,948","266,934","264,689","256,611","246,331","255,293","255,507","257,447","261,569","271,947","272,487","275,386","286,067","302,941","301,533","310,926","320,333","327,923","320,450","302,739","305,098","296,396","292,087","294,182","291,327","282,660","299,764","307,962","310,768","301,534","310,340","318,213","312,436","285,472","292,720","297,703","294,907"
NJ,"1,274,609","1,332,548","1,428,980","1,470,211","1,505,162","1,532,604","1,630,216","1,725,549","1,798,696","1,848,209","1,929,599","1,919,350","2,029,139","2,071,090","1,926,195","1,831,450","2,021,898","1,968,184","1,973,434","1,986,355","1,995,676","1,982,663","2,013,148","2,030,471","2,131,621","2,089,931","2,150,686","2,232,310","2,255,080","2,306,618","2,249,404","2,277,391","2,362,094","2,372,788","2,482,511","2,474,928","2,456,095","2,472,747","2,451,070","2,561,343","2,477,618","2,452,615","2,479,729","2,507,742","2,551,491","2,647,662","2,531,346","2,655,233","2,581,953","2,360,786","2,277,813","2,261,325","2,154,878","2,198,547","2,212,385","2,166,983","2,125,088","2,071,086","2,171,789","2,074,884","1,862,114","1,965,465","2,024,328","1,982,296"
NM,"323,169","334,528","369,973","364,506","359,398","347,785","370,504","401,452","430,120","422,128","451,606","461,632","493,785","469,880","467,620","451,285","501,068","467,093","467,297","472,433","472,378","464,979","455,822","462,862","463,457","455,983","444,217","476,333","502,383","524,849","596,714","589,783","586,608","601,669","590,170","581,611","604,479","643,472","635,425","639,172","661,807","660,774","658,663","659,610","682,293","681,623","686,722","708,988","669,937","637,573","644,615","661,374","657,153","660,840","667,442","667,386","652,846","657,837","667,998","702,099","655,082","680,597","683,757","680,489"
NV,"87,617","100,725","108,573","118,670","128,628","125,061","139,218","144,122","157,238","169,732","182,916","193,870","209,569","225,133","224,082","228,785","241,868","250,217","273,496","286,643","281,546","277,180","278,926","288,937","289,442","292,696","292,872","321,094","344,745","377,634","394,592","402,012","417,828","439,144","478,446","491,511","535,413","537,352","554,912","578,338","603,315","609,458","603,491","633,191","667,681","687,650","719,850","709,143","674,324","624,799","669,780","656,117","650,980","665,141","667,599","654,144","676,850","699,273","714,668","715,008","643,507","687,606","706,539","689,433"
NY,"2,914,062","3,016,727","3,150,784","3,221,952","3,294,366","3,568,359","3,772,403","3,849,083","3,949,912","4,086,229","4,190,449","4,133,363","4,155,515","4,305,711","4,005,848","3,807,220","4,116,948","4,111,550","4,093,007","3,871,143","3,762,828","3,577,832","3,415,363","3,229,532","3,288,883","3,407,622","3,450,061","3,568,406","3,668,613","3,672,818","3,568,067","3,508,914","3,588,577","3,604,951","3,557,921","3,609,870","3,735,534","3,799,956","3,738,533","3,887,014","3,966,053","3,859,806","3,854,372","3,992,726","4,094,407","3,977,272","3,687,714","3,785,871","3,691,737","3,503,947","3,690,774","3,557,476","3,412,306","3,543,324","3,651,925","3,655,768","3,578,728","3,559,511","3,733,207","3,630,879","3,141,560","3,344,919","3,455,050","3,436,991"
OH,"2,904,700","2,809,331","2,941,625","3,023,875","3,123,375","3,273,340","3,449,182","3,441,912","3,609,850","3,745,443","3,824,828","3,756,896","4,008,084","4,098,228","4,064,582","3,853,767","4,087,540","4,101,157","4,159,091","4,146,177","3,845,609","3,749,271","3,399,416","3,324,778","3,523,339","3,512,900","3,480,380","3,611,227","3,760,180","3,846,114","3,807,991","3,806,874","3,853,846","3,904,883","4,011,173","4,091,597","4,164,743","4,145,594","4,065,311","4,218,414","4,259,607","3,999,662","3,939,151","4,007,179","4,039,591","4,069,541","3,911,618","4,037,709","3,987,333","3,651,766","3,774,055","3,728,725","3,580,052","3,657,072","3,761,488","3,659,083","3,610,452","3,556,367","3,697,336","3,578,240","3,350,439","3,491,975","3,515,032","3,381,273"
OK,"570,253","571,668","679,452","755,827","789,094","759,172","729,559","746,296","826,054","866,037","918,230","942,838","994,638","999,851","1,035,404","1,041,759","1,136,324","1,203,198","1,238,677","1,294,922","1,184,801","1,218,882","1,280,027","1,275,509","1,286,192","1,265,482","1,171,141","1,229,995","1,267,959","1,296,947","1,373,988","1,309,387","1,318,460","1,371,540","1,386,250","1,359,274","1,424,141","1,425,632","1,426,637","1,411,593","1,471,342","1,492,091","1,446,109","1,477,033","1,455,534","1,507,364","1,553,651","1,546,213","1,550,694","1,460,984","1,542,211","1,537,902","1,515,448","1,542,829","1,604,125","1,538,143","1,512,185","1,514,805","1,582,673","1,541,326","1,443,997","1,490,656","1,519,985","1,519,146"
OR,"448,836","462,845","485,305","504,524","553,155","564,303","603,370","615,524","661,493","699,391","719,933","761,404","803,933","821,882","798,882","826,807","847,915","857,121","915,806","940,450","909,316","905,885","868,760","830,013","897,725","882,005","863,838","912,212","966,215","967,840","724,030","737,561","797,636","788,803","834,131","776,033","791,719","796,072","854,246","861,362","875,026","843,152","802,635","790,533","802,333","833,558","825,499","848,545","833,313","802,266","786,172","757,856","750,369","784,796","773,334","782,114","785,750","823,286","819,942","850,720","782,885","831,873","843,766","875,020"
PA,"3,191,998","3,083,666","3,188,394","3,326,333","3,519,260","3,655,092","3,755,282","3,730,077","3,873,388","3,885,484","4,011,161","3,943,812","4,087,324","4,193,580","4,011,866","3,807,038","4,064,560","4,049,871","4,032,978","4,153,792","3,902,697","3,721,527","3,262,803","3,268,853","3,501,839","3,345,824","3,286,424","3,472,305","3,643,313","3,652,258","3,632,889","3,574,762","3,672,203","3,743,720","3,815,840","3,878,039","3,908,529","3,878,568","3,718,943","3,761,268","3,930,803","3,841,084","3,899,649","3,943,918","3,991,628","4,022,884","3,892,981","3,949,447","3,926,058","3,608,128","3,736,071","3,727,655","3,623,830","3,832,144","3,958,079","3,873,641","3,739,051","3,739,767","3,901,072","3,794,359","3,389,382","3,615,526","3,738,924","3,607,506"
RI,"184,099","169,743","177,427","177,326","174,692","169,622","171,467","189,080","193,507","205,740","217,567","230,069","231,335","226,512","209,842","200,800","210,284","219,239","207,772","196,506","180,800","170,799","169,678","175,193","186,785","199,491","201,135","211,443","219,388","212,031","212,245","218,425","245,916","202,097","240,772","229,566","220,082","217,849","226,630","226,772","205,560","204,139","203,331","217,784","215,376","209,035","199,951","197,786","194,056","194,769","195,319","185,462","183,397","195,484","202,362","201,687","183,572","180,777","193,934","187,842","172,609","183,459","188,272","182,950"
