State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,42,43,43,43,42,41,39,37,35,32,29,26,23,20,22,34,37,44,45,45,59,77,84,112,135,192,278,466,843,"1,727","2,331","3,073","3,545"
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,15,16,16,16,16,16,22,24,24,23,22,22,21,20,19,18,23,29,31,33,36,39,42,64,73,174,777,"2,626","4,086","7,175","9,273","10,073","11,470"
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,5,5,5,5,5,7,7,9,15,14,16,18,19,20,177
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,59,60,60,60,60,60,60,60,60,57,52,48,43,37,32,26,26,28,29,27,33,35,78,276,325,491,589,640,909,"1,462","1,439","1,487","2,593","3,557"
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,369,414,420,430,459,474,491,489,550,563,541,535,527,522,506,484,478,484,502,542,630,786,"1,206","1,515","2,096","2,710","4,415","9,692","13,978","18,908","35,237","59,311","87,388","110,891"
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,40,40,40,51,51,53,51,49,46,44,40,38,39,36,33,33,38,42,53,61,73,105,138,192,396,"4,164","8,592","8,993","9,088","10,696","14,174","15,854","16,556"
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,126,127,128,128,131,134,136,137,137,137,136,145,178,190,209,266,328,394,449,460,481,503,540,561,595,628,744,"1,836","3,428","4,230","5,953","12,792","17,653","21,455"
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,7,13,17,20,23,24,27,28,29,30,33,36,40,47,54,75,85,90,113,154,221,282,440,551,810,902,"1,118","1,311","1,322","1,504","1,562"
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,363,362,372,374,373,370,365,355,341,326,289,262,227,191,155,116,109,99,104,113,125,144,170,198,248,316,433,526,645,976,"1,138","1,354","1,754","3,140"
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,203,208,213,217,218,234,237,229,225,212,194,182,173,165,150,137,144,164,202,223,238,255,289,298,318,334,366,506,635,718,"1,004","2,119","3,749","5,581"
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,32,32,31,31,38,45,43,42,39,36,33,30,27,38,38,40,43,46,44,46,50,58,62,63,67,71,80,86,95,106,129,166,214
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,6,10,10,11,14,18,26,648,610,674,715,692
US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,111,147,109,94,"52,495","55,962","58,040","59,819","61,682","63,410","64,396","65,052","64,172","63,455","62,010","59,349","56,968","55,128","53,570","53,021","51,939","54,095","56,946","61,096","62,525","67,853","76,126","93,797","119,650","161,050","196,175","250,888","328,623","383,634","429,747","511,315","626,863","764,563","880,325"
